    2.0000    3.0000         0         0         0         0         0    0.7000
    2.0000    4.0000    3.0000         0         0         0         0    0.6500
    2.0000    4.0000    6.0000    3.0000         0         0         0    0.7000
    2.0000    4.0000    6.0000    5.0000    3.0000         0         0    0.4500
    2.0000    4.0000    6.0000    5.0000    1.0000    3.0000         0    1.0500
    2.0000    4.0000    6.0000    5.0000    1.0000    7.0000    3.0000    0.9500
    2.0000    4.0000    6.0000    5.0000    7.0000    3.0000         0    0.6500
    2.0000    4.0000    6.0000    5.0000    7.0000    1.0000    3.0000    1.0500
    2.0000    4.0000    6.0000    7.0000    3.0000         0         0    0.6500
    2.0000    4.0000    6.0000    7.0000    1.0000    3.0000         0    1.0500
    2.0000    4.0000    6.0000    7.0000    1.0000    5.0000    3.0000    0.9500
    2.0000    4.0000    6.0000    7.0000    5.0000    3.0000         0    0.6000
    2.0000    4.0000    6.0000    7.0000    5.0000    1.0000    3.0000    1.2000
    2.0000    4.0000    7.0000    3.0000         0         0         0    0.6000
    2.0000    4.0000    7.0000    1.0000    3.0000         0         0    1.0000
    2.0000    4.0000    7.0000    1.0000    5.0000    3.0000         0    0.9000
    2.0000    4.0000    7.0000    1.0000    5.0000    6.0000    3.0000    1.2500
    2.0000    4.0000    7.0000    5.0000    3.0000         0         0    0.5500
    2.0000    4.0000    7.0000    5.0000    1.0000    3.0000         0    1.1500
    2.0000    4.0000    7.0000    5.0000    6.0000    3.0000         0    0.9000
    2.0000    6.0000    3.0000         0         0         0         0    0.6500
    2.0000    6.0000    4.0000    3.0000         0         0         0    0.7000
    2.0000    6.0000    4.0000    7.0000    3.0000         0         0    0.6500
    2.0000    6.0000    4.0000    7.0000    1.0000    3.0000         0    1.0500
    2.0000    6.0000    4.0000    7.0000    1.0000    5.0000    3.0000    0.9500
    2.0000    6.0000    4.0000    7.0000    5.0000    3.0000         0    0.6000
    2.0000    6.0000    4.0000    7.0000    5.0000    1.0000    3.0000    1.2000
    2.0000    6.0000    5.0000    3.0000         0         0         0    0.4000
    2.0000    6.0000    5.0000    1.0000    3.0000         0         0    1.0000
    2.0000    6.0000    5.0000    1.0000    7.0000    3.0000         0    0.9000
    2.0000    6.0000    5.0000    1.0000    7.0000    4.0000    3.0000    1.2000
    2.0000    6.0000    5.0000    7.0000    3.0000         0         0    0.6000
    2.0000    6.0000    5.0000    7.0000    1.0000    3.0000         0    1.0000
    2.0000    6.0000    5.0000    7.0000    4.0000    3.0000         0    0.9000
    2.0000    6.0000    7.0000    3.0000         0         0         0    0.6000
    2.0000    6.0000    7.0000    1.0000    3.0000         0         0    1.0000
    2.0000    6.0000    7.0000    1.0000    5.0000    3.0000         0    0.9000
    2.0000    6.0000    7.0000    4.0000    3.0000         0         0    0.9000
    2.0000    6.0000    7.0000    5.0000    3.0000         0         0    0.5500
    2.0000    6.0000    7.0000    5.0000    1.0000    3.0000         0    1.1500
    2.0000    7.0000    3.0000         0         0         0         0    0.6000
    2.0000    7.0000    1.0000    3.0000         0         0         0    1.0000
    2.0000    7.0000    1.0000    5.0000    3.0000         0         0    0.9000
    2.0000    7.0000    1.0000    5.0000    6.0000    3.0000         0    1.2500
    2.0000    7.0000    1.0000    5.0000    6.0000    4.0000    3.0000    1.3000
    2.0000    7.0000    4.0000    3.0000         0         0         0    0.9000
    2.0000    7.0000    4.0000    6.0000    3.0000         0         0    0.9500
    2.0000    7.0000    4.0000    6.0000    5.0000    3.0000         0    0.7000
    2.0000    7.0000    4.0000    6.0000    5.0000    1.0000    3.0000    1.3000
    2.0000    7.0000    5.0000    3.0000         0         0         0    0.5500
    2.0000    7.0000    5.0000    1.0000    3.0000         0         0    1.1500
    2.0000    7.0000    5.0000    6.0000    3.0000         0         0    0.9000
    2.0000    7.0000    5.0000    6.0000    4.0000    3.0000         0    0.9500
